accountsservice	23.13.9-2ubuntu6	524	optional	admin	query and manipulate user account information
acl	2.3.2-1build1.1	192	optional	utils	access control list - utilities
adduser	3.137ubuntu1	452	important	admin	add and remove users and groups
adwaita-icon-theme	46.0-1	12051	optional	gnome	default icon theme of GNOME
amd64-microcode	3.20251202.1ubuntu0.24.04.1	885	standard	non-free-firmware/admin	Platform firmware and microcode for AMD CPUs and SoCs
apache2-bin	2.4.58-1ubuntu8.15	5027	optional	httpd	Apache HTTP Server (modules and other binary files)
apg	2.2.3.dfsg.1-5build3	116	optional	admin	Automated Password Generator - Standalone version
app-terminator	0.2.0-1~noble1	463	optional	gnome	Unified manager for installed applications
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.7	3148	optional	admin	user-space parser utility for AppArmor
apport	2.28.2-0ubuntu0.1	656	optional	utils	automatically generate crash reports for debugging
apport-core-dump-handler	2.28.2-0ubuntu0.1	37	optional	utils	Kernel core dump handler for Apport
apport-symptoms	0.25	60	optional	utils	symptom scripts for apport
appstream	1.0.2-1build6	332	optional	admin	Software component metadata management
apt	2.8.3	4108	important	admin	commandline package manager
apt-config-icons	1.0.2-1build6	23	optional	misc	APT configuration snippet to enable icon downloads
apt-transport-https	2.8.3	36	optional	oldlibs	transitional package for https support
apt-utils	2.8.3	660	required	admin	package management related utility programs
aptdaemon	1.1.1+bzr982-0ubuntu44	156	extra	admin	transaction based package management service
aptdaemon-data	1.1.1+bzr982-0ubuntu44	228	extra	admin	data files for clients
at-spi2-common	2.52.0-1build1	52	optional	misc	Assistive Technology Service Provider Interface (common files)
at-spi2-core	2.52.0-1build1	177	optional	misc	Assistive Technology Service Provider Interface (D-Bus core)
avahi-daemon	0.8-13ubuntu6.2	268	optional	net	Avahi mDNS/DNS-SD daemon
base-files	13ubuntu10.4	426	required	admin	Debian base system miscellaneous files
base-passwd	3.6.3build1	254	required	admin	Debian base system master password and group files
bash	5.2.21-2ubuntu4	1900	required	shells	GNU Bourne Again SHell
bash-completion	1:2.11-8	1454	standard	shells	programmable completion for the bash shell
bc	1.07.1-3ubuntu4	213	standard	math	GNU bc arbitrary precision calculator language
bcache-tools	1.0.8-5build1	106	optional	utils	bcache userspace tools
bind9-dnsutils	1:9.18.39-0ubuntu0.24.04.5	510	standard	net	Clients provided with BIND 9
bind9-host	1:9.18.39-0ubuntu0.24.04.5	157	standard	net	DNS Lookup Utility
bind9-libs	1:9.18.39-0ubuntu0.24.04.5	3443	standard	libs	Shared Libraries used by BIND 9
binutils	2.42-4ubuntu2.10	161	optional	devel	GNU assembler, linker and binary utilities
binutils-common	2.42-4ubuntu2.10	564	optional	devel	Common files for the GNU assembler, linker and binary utilities
binutils-x86-64-linux-gnu	2.42-4ubuntu2.10	11549	optional	devel	GNU binary utilities, for x86-64-linux-gnu target
blt	2.5.3+dfsg-7build1	20	optional	libs	graphics extension library for Tcl/Tk - run-time
bluez	5.72-0ubuntu5.5	4457	optional	admin	Bluetooth tools and daemons
bluez-obexd	5.72-0ubuntu5.5	687	optional	admin	bluez obex daemon
bolt	0.9.7-1	457	optional	admin	system daemon to manage thunderbolt 3 devices
bpfcc-tools	0.29.1+ds-1ubuntu7	2817	optional	misc	tools for BPF Compiler Collection (BCC)
bpftrace	0.20.2-1ubuntu4.3	3427	optional	utils	high-level tracing language for Linux eBPF
brasero-common	3.12.3-2build4	10511	optional	gnome	Common files for the Brasero CD burning application and library
bsdextrautils	2.39.3-9ubuntu6.5	287	optional	utils	extra utilities from 4.4BSD-Lite
bsdutils	1:2.39.3-9ubuntu6.5	288	required	utils	basic utilities from 4.4BSD-Lite
btop	1.3.0-1	1582	optional	utils	Modern and colorful command line resource monitor that shows usage and stats
btrfs-progs	6.6.3-1.1build2	4953	optional	admin	Checksumming Copy on Write Filesystem utilities
bubblewrap	0.9.0-1ubuntu0.1	130	optional	admin	utility for unprivileged chroot and namespace manipulation
build-essential	12.10ubuntu1	17	optional	devel	Informational list of build-essential packages
busybox-initramfs	1:1.36.1-6ubuntu3.1	350	optional	shells	Standalone shell setup for initramfs
busybox-static	1:1.36.1-6ubuntu3.1	2123	optional	shells	Standalone rescue shell with tons of builtin utilities
byobu	6.11-0ubuntu1	560	optional	misc	text window manager, shell multiplexer, integrated DevOps environment
bzip2	1.0.8-5.1build0.1	109	standard	utils	high-quality block-sorting file compressor - utilities
bzip2-doc	1.0.8-5.1build0.1	597	optional	doc	high-quality block-sorting file compressor - documentation
ca-certificates	20260601~24.04.1	333	standard	misc	Common CA certificates
cabextract	1.11-2	82	optional	utils	Microsoft Cabinet file unpacker
cdrdao	1:1.2.4-3build1	988	optional	otherosfs	records CDs in Disk-At-Once (DAO) mode
chrome-gnome-shell	42.1-4	8	optional	oldlibs	GNOME Shell integration for browsers - transitional package
claude-desktop	1.22209.0	522704	optional	utils	Desktop application for Claude.ai
cloud-guest-utils	0.33-1	67	optional	admin	cloud guest utilities
cloud-init	26.1-0ubuntu1~24.04.1	3193	optional	admin	initialization and customization tool for cloud instances
cloud-initramfs-copymods	0.49~24.04.1	25	optional	admin	copy initramfs modules into root filesystem for later use
cloud-initramfs-dyn-netconf	0.49~24.04.1	28	optional	admin	write a network interface file in /run for BOOTIF
cmake	3.28.3-1build7	36493	optional	devel	cross-platform, open-source make system
cmake-data	3.28.3-1build7	10984	optional	devel	CMake data files (modules, templates and documentation)
code	1.129.1-1784303641	939673	optional	devel	Code editing. Redefined.
colord	1.4.7-1build2	832	optional	graphics	system service to manage device colour profiles -- system daemon
colord-data	1.4.7-1build2	2300	optional	graphics	system service to manage device colour profiles -- data files
command-not-found	23.04.0	29	optional	admin	Suggest installation of packages in interactive bash sessions
console-setup	1.226ubuntu1	431	optional	utils	console font and keymap setup program
console-setup-linux	1.226ubuntu1	2202	optional	utils	Linux specific part of console-setup
coreutils	9.4-3ubuntu6.2	6944	required	utils	GNU core utilities
cpio	2.15+dfsg-1ubuntu2	328	important	utils	GNU cpio -- a program to manage archives of files
cpp	4:13.2.0-7ubuntu1	37	optional	interpreters	GNU C preprocessor (cpp)
cpp-13	13.3.0-6ubuntu2~24.04.1	11	optional	interpreters	GNU C preprocessor
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	30807	optional	interpreters	GNU C preprocessor for x86_64-linux-gnu
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1	20	optional	interpreters	GNU C preprocessor (cpp) for the amd64 architecture
cpu-checker	0.7-1.3build2	20	optional	utils	tools to help evaluate certain CPU (or BIOS) features
cron	3.0pl1-184ubuntu2	230	important	admin	process scheduling daemon
cron-daemon-common	3.0pl1-184ubuntu2	50	important	admin	process scheduling daemon's configuration files
cryptsetup	2:2.7.0-1ubuntu4.2	430	optional	admin	disk encryption support - startup scripts
cryptsetup-bin	2:2.7.0-1ubuntu4.2	604	optional	admin	disk encryption support - command line tools
cryptsetup-initramfs	2:2.7.0-1ubuntu4.2	110	optional	admin	disk encryption support - initramfs integration
cups-pk-helper	0.2.6-1ubuntu8	304	extra	gnome	PolicyKit helper to configure cups with fine-grained privileges
curl	8.5.0-2ubuntu10.11	522	optional	web	command line tool for transferring data with URL syntax
cursor	3.12.17-1784259156	962018	optional	devel	The AI Code Editor.
dash	0.5.12-6ubuntu5	187	required	shells	POSIX-compliant shell
dbus	1.14.10-4ubuntu4.1	167	standard	admin	simple interprocess messaging system (system message bus)
dbus-bin	1.14.10-4ubuntu4.1	215	optional	admin	simple interprocess messaging system (command line utilities)
dbus-daemon	1.14.10-4ubuntu4.1	369	optional	admin	simple interprocess messaging system (reference message bus)
dbus-session-bus-common	1.14.10-4ubuntu4.1	109	optional	admin	simple interprocess messaging system (session bus configuration)
dbus-system-bus-common	1.14.10-4ubuntu4.1	120	optional	admin	simple interprocess messaging system (system bus configuration)
dbus-user-session	1.14.10-4ubuntu4.1	113	optional	admin	simple interprocess messaging system (systemd --user integration)
dconf-cli	0.40.0-4ubuntu0.1	88	optional	utils	simple configuration storage system - utilities
dconf-gsettings-backend	0.40.0-4ubuntu0.1	74	optional	libs	simple configuration storage system - GSettings back-end
dconf-service	0.40.0-4ubuntu0.1	97	optional	libs	simple configuration storage system - D-Bus service
debconf	1.5.86ubuntu1	493	required	admin	Debian configuration management system
debconf-i18n	1.5.86ubuntu1	794	important	localization	full internationalization support for debconf
debianutils	5.17build1	224	required	utils	Miscellaneous utilities specific to Debian
desktop-base	12.0.6+nmu1ubuntu1	19664	optional	x11	common files for the Debian Desktop
desktop-file-utils	0.27-2build1	243	optional	devel	Utilities for .desktop files
devin-desktop	3.4.27-1783378423	949727	optional	devel	Tomorrow's Editor, Today.
dhcpcd-base	1:10.0.6-1ubuntu3.2	514	optional	net	DHCPv4 and DHCPv6 dual-stack client (binaries and exit hooks)
dictionaries-common	1.29.7	715	optional	text	spelling dictionaries - common utilities
diffutils	1:3.10-1build1	452	required	utils	File comparison utilities
dirmngr	2.4.4-2ubuntu17.4	709	optional	utils	GNU privacy guard - network certificate management service
distro-info	1.7build1	78	optional	devel	provides information about the distributions' releases
distro-info-data	0.60ubuntu0.6	18	optional	devel	information about the distributions' releases (data files)
dmeventd	2:1.02.185-3ubuntu3.2	227	optional	admin	Linux Kernel Device Mapper event daemon
dmidecode	3.5-3ubuntu0.1	228	important	utils	SMBIOS/DMI table decoder
dmsetup	2:1.02.185-3ubuntu3.2	253	optional	admin	Linux Kernel Device Mapper userspace library
docbook-xml	4.5-12	2134	optional	text	standard XML documentation system for software and systems
dosfstools	4.2-1.1build1	232	optional	otherosfs	utilities for making and checking MS-DOS FAT filesystems
dpkg	1.22.6ubuntu6.6	6238	required	admin	Debian package management system
dpkg-dev	1.22.6ubuntu6.6	1721	optional	utils	Debian package development tools
dracut-install	060+5-1ubuntu3.3	87	optional	utils	dracut is an event driven initramfs infrastructure (dracut-install)
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1	1504	required	admin	ext2/ext3/ext4 file system utilities
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1	60	optional	localization	ext2/ext3/ext4 file system utilities - translations
eatmydata	131-1ubuntu1	21	optional	utils	Library and utilities designed to disable fsync and friends
ed	1.20.1-1	108	optional	editors	classic UNIX line editor
efibootmgr	18-1build2	92	optional	admin	Interact with the EFI Boot Manager
eject	2.39.3-9ubuntu6.5	97	optional	utils	ejects CDs and operates CD-Changers under Linux
emacsen-common	3.0.5	55	optional	editors	Common facilities for all emacsen
ethtool	1:6.7-1build1	734	optional	net	display or change Ethernet device settings
evince	46.3.1-0ubuntu1	945	optional	gnome	Document (PostScript, PDF) viewer
evolution	3.52.3-0ubuntu1.1	453	optional	gnome	groupware suite with mail client and organizer
evolution-common	3.52.3-0ubuntu1.1	23828	optional	gnome	architecture independent files for Evolution
evolution-data-server	3.52.3-0ubuntu1.2	2987	optional	gnome	evolution database backend server
evolution-data-server-common	3.52.3-0ubuntu1.2	508	optional	gnome	architecture independent files for Evolution Data Server
evolution-plugins	3.52.3-0ubuntu1.1	455	optional	gnome	standard plugins for Evolution
fakeroot	1.33-1	220	optional	utils	tool for simulating superuser privileges
fdisk	2.39.3-9ubuntu6.5	392	important	utils	collection of partitioning utilities
feh	3.10.1-1ubuntu0.1	322	optional	graphics	imlib2 based image viewer
ffmpeg	7:6.1.1-3ubuntu5	2468	optional	video	Tools for transcoding, streaming and playing of multimedia files
file	1:5.45-3build1	63	standard	utils	Recognize the type of data in a file using "magic" numbers
finalrd	9build1	30	optional	utils	final runtime directory for shutdown
findutils	4.9.0-5build1	552	required	utils	utilities for finding files--find, xargs
firefox	152.0.6+build1-0ubuntu0.24.04.1~mt1	298252	optional	web	Safe and easy web browser from Mozilla
firmware-sof-signed	2023.12.1-1ubuntu1.11	12219	optional	non-free-firmware/kernel	Intel SOF firmware - signed
fontconfig	2.15.0-1.1ubuntu2	468	optional	fonts	generic font configuration library - support binaries
fontconfig-config	2.15.0-1.1ubuntu2	239	optional	fonts	generic font configuration library - configuration
fonts-cantarell	0.303.1-1	572	optional	fonts	sans serif font family designed for on-screen readability
fonts-dejavu-core	2.37-8	2292	optional	fonts	Vera font family derivate with additional characters
fonts-dejavu-mono	2.37-8	1281	optional	fonts	Vera font family derivate with additional characters
fonts-firacode	6.2-2	2935	optional	fonts	Monospaced font with programming ligatures
fonts-liberation	1:2.1.5-3	4285	optional	fonts	fonts with the same metrics as Times, Arial and Courier
fonts-liberation-sans-narrow	1:1.07.6-4	494	optional	fonts	Sans-serif Narrow fonts to replace commonly used Arial Narrow
fonts-liberation2	1:2.1.5-3	13	optional	fonts	transitional dummy package
fonts-lyx	2.4.0~RC3-1build4	346	optional	fonts	TrueType versions of some TeX fonts used by LyX
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1	10552	optional	fonts	color emoji font from Google
fonts-noto-core	20201225-2	42551	optional	fonts	"No Tofu" font families with large Unicode coverage (core)
fonts-noto-mono	20201225-2	1156	optional	fonts	"No Tofu" monospaced font family with large Unicode coverage
fonts-opensymbol	4:102.12+LibO24.2.7-0ubuntu0.24.04.6	284	optional	fonts	OpenSymbol TrueType font
fonts-quicksand	0.2016-2.1	392	optional	fonts	sans-serif font with round attributes
fonts-roboto	2:0~20170802-3	17	optional	fonts	metapackage to pull in Roboto fonts
fonts-roboto-unhinted	2:0~20170802-3	6238	optional	fonts	Google's signature family of fonts (unhinted)
fonts-ubuntu-console	0.869+git20240321-0ubuntu1	58	optional	fonts	console version of the Ubuntu Mono font
fonts-urw-base35	20200910-8	15560	optional	fonts	font set metric-compatible with the 35 PostScript Level 2 Base Fonts
friendly-recovery	0.2.42	45	optional	admin	Make recovery boot mode more user-friendly
ftp	20230507-2build3	24	optional	oldlibs	dummy transitional package for tnftp
fuse3	3.14.0-5build1	94	optional	utils	Filesystem in Userspace (3.x version)
fwupd	2.0.20-1ubuntu2~24.04.2	12767	optional	admin	Firmware update daemon
fwupd-signed	1.52+1.4-1	76	optional	utils	Linux Firmware Updater EFI signed binary
g++	4:13.2.0-7ubuntu1	13	optional	devel	GNU C++ compiler
g++-13	13.3.0-6ubuntu2~24.04.1	29	optional	devel	GNU C++ compiler
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	33545	optional	devel	GNU C++ compiler for x86_64-linux-gnu architecture
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1	11	optional	devel	GNU C++ compiler for the amd64 architecture
gawk	1:5.2.1-2build3	1736	optional	interpreters	GNU awk, a pattern scanning and processing language
gcc	4:13.2.0-7ubuntu1	37	optional	devel	GNU C compiler
gcc-13	13.3.0-6ubuntu2~24.04.1	553	optional	devel	GNU C compiler
gcc-13-base	13.3.0-6ubuntu2~24.04.1	113	optional	libs	GCC, the GNU Compiler Collection (base package)
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	61333	optional	devel	GNU C compiler for the x86_64-linux-gnu architecture
gcc-14-base	14.2.0-4ubuntu2~24.04.1	113	required	libs	GCC, the GNU Compiler Collection (base package)
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1	25	optional	devel	GNU C compiler for the amd64 architecture
gcr	3.41.2-1build3	372	optional	gnome	GNOME crypto services (daemon and tools)
gcr4	4.2.0-5	204	optional	gnome	GNOME crypto services (daemon and tools)
gdisk	1.0.10-1build1	784	optional	admin	GPT fdisk text-mode partitioning tool
gdm3	46.2-1ubuntu1~24.04.9	2028	optional	gnome	GNOME Display Manager
geoclue-2.0	2.7.0-3ubuntu7	479	optional	utils	geoinformation service
geocode-glib-common	3.26.3-6build3	78	optional	libs	icons for the geocode-glib library
gettext-base	0.21-14ubuntu2	268	standard	utils	GNU Internationalization utilities for the base system
ghostscript	10.02.1~dfsg1-0ubuntu7.8	183	optional	text	interpreter for the PostScript language and for PDF
gimp	2.10.36-3ubuntu0.24.04.1	19566	optional	graphics	GNU Image Manipulation Program
gimp-data	2.10.36-3ubuntu0.24.04.1	86962	optional	graphics	Data files for GIMP
gir1.2-accountsservice-1.0	23.13.9-2ubuntu6	31	optional	introspection	GObject introspection data for AccountService
gir1.2-adw-1	1.5.0-1ubuntu2	167	optional	introspection	GObject introspection files for libadwaita
gir1.2-atk-1.0	2.52.0-1build1	100	optional	introspection	ATK accessibility toolkit (GObject introspection)
gir1.2-atspi-2.0	2.52.0-1build1	82	optional	introspection	Assistive Technology Service Provider (GObject introspection)
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3	31	optional	introspection	Typelib files for libayatana-appindicator3-1 (GTK-3+ version)
gir1.2-ayatanaido3-0.4	0.10.1-1build2	32	optional	introspection	Widgets and other objects used for Ayatana Indicators - Typelib file
gir1.2-dbusmenu-glib-0.4	18.10.20180917~bzr492+repack1-3.1ubuntu5	32	optional	introspection	typelib file for libdbusmenu-glib4
gir1.2-freedesktop	1.80.1-1	156	optional	introspection	Introspection data for some FreeDesktop components
gir1.2-freedesktop-dev	1.80.1-1	173	optional	libdevel	GIR XML for some FreeDesktop components
gir1.2-gck-2	4.2.0-5	47	optional	introspection	GObject introspection data for the GCK library
gir1.2-gcr-4	4.2.0-5	49	optional	introspection	GObject introspection data for the GCR library
gir1.2-gdesktopenums-3.0	46.1-0ubuntu1	26	optional	introspection	GObject introspection for GSettings desktop-wide schemas
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.3	44	optional	introspection	GDK Pixbuf library - GObject-Introspection
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.9	81	optional	introspection	GObject introspection data for the GNOME Display Manager
gir1.2-geoclue-2.0	2.7.0-3ubuntu7	41	optional	introspection	convenience library to interact with geoinformation service (introspection)
gir1.2-girepository-2.0	1.80.1-1	102	optional	introspection	Introspection data for GIRepository library
gir1.2-girepository-2.0-dev	1.80.1-1	376	optional	libdevel	GIR XML for GIRepository library
gir1.2-glib-2.0	2.80.0-6ubuntu3.8	765	optional	introspection	Introspection data for GLib, GObject, Gio and GModule
gir1.2-glib-2.0-dev	2.80.0-6ubuntu3.8	11511	optional	libdevel	GIR XML for GLib, GObject, Gio and GModule
gir1.2-gnomebg-4.0	44.0-5build2	27	optional	introspection	Introspection data for GnomeBG (GTK 4)
gir1.2-gnomebluetooth-3.0	46.0-1ubuntu1	22	optional	introspection	Introspection data for GnomeBluetooth
gir1.2-gnomedesktop-4.0	44.0-5build2	32	optional	introspection	Introspection data for GnomeDesktop (GTK 4)
gir1.2-graphene-1.0	1.10.8-3build2	52	optional	introspection	library of graphic data types (introspection files)
gir1.2-gstreamer-1.0	1.24.2-1ubuntu0.1	357	optional	introspection	GObject introspection data for the GStreamer library
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3	994	optional	introspection	GTK graphical user interface library -- gir bindings
gir1.2-gtk-4.0	4.14.5+ds-0ubuntu0.10	882	optional	introspection	GTK graphical user interface library -- gir bindings
gir1.2-gweather-4.0	4.4.2-1build1	35	optional	introspection	GObject introspection data for the GWeather library
gir1.2-handy-1	1.8.3-1build2	74	optional	introspection	GObject introspection files for libhandy
gir1.2-harfbuzz-0.0	8.3.0-2build2	188	optional	introspection	OpenType text shaping engine (GObject introspection data)
gir1.2-ibus-1.0	1.5.29-2	348	optional	introspection	Intelligent Input Bus - introspection data
gir1.2-javascriptcoregtk-4.1	2.52.3-0ubuntu0.24.04.1	310	optional	introspection	JavaScript engine library from WebKitGTK - GObject introspection data
gir1.2-javascriptcoregtk-6.0	2.52.3-0ubuntu0.24.04.1	309	optional	introspection	JavaScript engine library from WebKitGTK - GObject introspection data
gir1.2-mutter-14	46.2-1ubuntu0.24.04.16	541	optional	introspection	GObject introspection data for Mutter
